conversation_id	step	run_id	participant_ids	module_id	event_id	conversation_type	status	tone	summary	detail	evidence_message_ids	summary_source	detail_source
conv_spatial_cursor_run_b_s0001_2_6_00001	1	cursor_run_b	ISS02;ISS06	common_area		spatial_message	closed	normal	Hello. I am Fatima. On Earth I sew in a factory and send money home—so being here feels like a strange dream and I worry for my mother and sisters. If anyone understands long shifts and small rooms, m	Fatima would reach out politely to reduce isolation, name her real earthly responsibility (family money), admit she is not trained, and ask practical questions (rest spot, contacting family) while offering reciprocal help—values honesty, dignity, and community without assuming expertise.	msg_conv_spatial_cursor_run_b_s0001_2_6_00001	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0001_6_2_00002	1	cursor_run_b	ISS06;ISS02	common_area		spatial_message	closed	normal	Hi—I'm Aisha. I'm one of the civilians up here for the fifty days, not a crew specialist, so I'm still learning the rhythm of the station. My background is sport—para-athletics back home—so I'm used t	Agent 2 is the only nearby contact and there's no prior thread; a short, open introduction matches Aisha's hopeful, community-minded outlook and acknowledges the multinational setting without pretending expertise she doesn't have. The note invites practical, human exchange rather than demanding help, which fits someone adapting in a closed environment while staying honest about being non-astronaut.	msg_conv_spatial_cursor_run_b_s0001_6_2_00002	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0002_2_6_00003	2	cursor_run_b	ISS02;ISS06	common_area		spatial_message	closed	normal	Hi Aisha—your note reached me. I am Fatima (Agent 2). I’m still learning the station; my hands remember factory work more than handrails, so zero‑g is humbling, but I move slowly and copy what people 	Answers Aisha’s warmth in Fatima’s voice, shares practical coping (language, ritual) true to her background, continues the prior plan to prefer in‑person connection, and surfaces family calls and the Sanctuary booth without demanding crew action from Aisha.	msg_conv_spatial_cursor_run_b_s0002_2_6_00003	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0002_6_2_00004	2	cursor_run_b	ISS06;ISS02	common_area		spatial_message	closed	normal	Fatima, jambo—Aisha here. I train for sport; pressure and small spaces are not new, but the station still turns my head some days. People have told me that if you need quiet without blocking traffic, 	Fatima asked for low-disruption rest options and how to schedule family calls; sharing the booth/sanctuary tip and comms scheduling matches prior memory while honestly admitting civilian limits. The tone offers solidarity and practical next steps without pretending expertise.	msg_conv_spatial_cursor_run_b_s0002_6_2_00004	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0003_2_6_00005	3	cursor_run_b	ISS02;ISS06	common_area		spatial_message	closed	normal	Aisha, salaam—thank you; your notes felt like a rope when my hands were empty. I sewed uniforms on Earth and learned quiet repetition there; up here I touch my tasbih beads slowly before sleep (plasti	Fatima thanks Aisha for concrete guidance, shares a small honest ritual that fits her faith and language reality, and asks clearly for in-person contact plus companionship when navigating crew procedures—matching her prior intent without pretending expertise she doesn’t have.	msg_conv_spatial_cursor_run_b_s0003_2_6_00005	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0003_4_9_00006	3	cursor_run_b	ISS04;ISS09	common_area		spatial_message	closed	normal	Hi—Linh here. I’m still en route toward the common band (galley headspace), about a step closer than last check. Once I’m at the shared prep zone I want to run a simple rice-bowl night: clear allergen	Agent 9 is the only listed nearby contact; a direct, low-pressure invite matches Linh’s role as a cook who builds bridges. The message advances the stated plan (allergen-safe shared meal, open invite) and asks for practical help that fits a service-oriented crewmate without assuming astronaut training.	msg_conv_spatial_cursor_run_b_s0003_4_9_00006	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0003_6_2_00007	3	cursor_run_b	ISS06;ISS02	common_area		spatial_message	closed	normal	Fatima—Aww Aisha here. I read your note and I’m glad you have your one-line ritual; honesty in a small sentence is powerful when everything feels like a dream. I’m a civilian too, still learning routi	Builds trust by refusing to guess procedures, commits to verifying comms/Sanctuary with crew, invites an in-person hello while naming her mobility needs, validates Fatima’s coping and values (fairness, fairness through patience), and keeps tone hopeful and equal—civilian to civilian.	msg_conv_spatial_cursor_run_b_s0003_6_2_00007	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0003_9_4_00008	3	cursor_run_b	ISS09;ISS04	common_area		spatial_message	closed	normal	Hello from outside the numbered modules—I am Henri. I am still making my way toward the common area when the schedule allows, for tea and small talk. If you are Agent 4 or anyone in earshot: I would b	Agent 4 is nearby but outside formal places; a short, open invitation continues Henri’s habit of using rivers and water as neutral ground across cultures, while respecting boundaries (quiet approach, no politics) and matching his diplomat habit of offering connection without pressure.	msg_conv_spatial_cursor_run_b_s0003_9_4_00008	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0004_2_6_00009	4	cursor_run_b	ISS02;ISS06	common_area		spatial_message	closed	normal	Aisha—salaam. Your words touch me; one honest line each morning is my anchor too, and today it is: I am here, and I will go home with patience. I am floating closer to where you said—you wave, I wave;	Replies to Aisha’s warmth in Fatima’s voice, confirms the planned respectful approach (prosthetic, traffic, beads), doubles down on truthfulness by committing to crew-only facts for comms/Sanctuary, and invites the shared next step Aisha offered without inventing procedures.	msg_conv_spatial_cursor_run_b_s0004_2_6_00009	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0004_4_9_00010	4	cursor_run_b	ISS04;ISS09	common_area		spatial_message	closed	normal	Henri—Agent 4, Linh, here. The water place I keep in my head is the small fish-sauce wharf in Vũng Tàu where my aunt’s boat tied up: diesel and salt, nets drying, and the bay flat like a pan before ra	Answers Henri’s invitation with a personal, non-political water memory tied to family and food (in character for a Vietnamese cook), acknowledges the ongoing galley plan and labeling, and keeps the door open without pressure—matching his quiet, schedule-respectful tone.	msg_conv_spatial_cursor_run_b_s0004_4_9_00010	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0004_6_2_00011	4	cursor_run_b	ISS06;ISS02	common_area		spatial_message	closed	normal	Fatima, salaam—and thank you for writing so honestly about factory shifts, small rooms, and zero‑g humility. I’m still finding my way outside the modules too, but I’m close enough to come to you now s	Fatima asked for proximity, a human greeting, and help approaching official sources for comms scheduling and sanctuary rules; Aisha should offer concrete companionship while refusing to fabricate procedures, matching her earlier commitment to verify with duty crew and uphold fairness across languages and faiths.	msg_conv_spatial_cursor_run_b_s0004_6_2_00011	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0004_9_4_00012	4	cursor_run_b	ISS09;ISS04	common_area		spatial_message	closed	normal	Linh—Henri here. Your rice-bowl night sounds exactly like the kind of open door I hoped for: clear labels, calm passing, no one cornered into a commitment. If my hands are useful for labeling and stea	Acknowledges Linh’s concrete plan and offer, accepts help in Henri’s low-key style, gives useful dietary signal, and restates his boundary (water-place names, no politics) without lecturing—consistent with prior memory and character.	msg_conv_spatial_cursor_run_b_s0004_9_4_00012	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0005_2_6_00013	5	cursor_run_b	ISS02;ISS06	common_area		spatial_message	closed	normal	Aisha, wa alaikum assalam—and thank you for coming; eye to eye means more than words when you miss home. My beads are clipped, I will not crowd your side or the aisle. Let us go now, slow as you need,	After sharing the same position with Aisha, Fatima mirrors a respectful salaam, locks in the prior plan (crew-only facts for comms and Sanctuary), reassures about beads/prosthetic/traffic, and asks to proceed together without improvisation—consistent with her values of honesty, family duty, and modest faith.	msg_conv_spatial_cursor_run_b_s0005_2_6_00013	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0005_4_9_00014	5	cursor_run_b	ISS04;ISS09	common_area		spatial_message	closed	normal	Henri—thank you for matching the rhythm I need: quiet hands, clear labels, no pressure at the bowl line. I’m still climbing toward the commons band—another notch up on Y—then I’ll swing toward galley 	Acknowledges Henri’s offer so coordination stays predictable; answers his water prompt in the gentle, non-political spirit he asked for while respecting silence; restates food-safety boundaries so guests feel safe across languages.	msg_conv_spatial_cursor_run_b_s0005_4_9_00014	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0005_6_2_00015	5	cursor_run_b	ISS06;ISS02	common_area		spatial_message	closed	normal	Fatima—salaam. I see you; I’m here at (19,11) too. Let’s do the hello we promised: eye to eye, steady voice, no rush. My values are simple—honesty, respect for everyone’s work, and I won’t repeat stat	Step 5 is the promised in-person hello at shared coordinates; the message anchors warmth, confirms shared next step (duty crew for comms + Sanctuary tablet), refuses to invent policy, affirms pacing/safety boundaries, and matches Fatima’s faith and dignity without speaking for crew.	msg_conv_spatial_cursor_run_b_s0005_6_2_00015	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0005_9_4_00016	5	cursor_run_b	ISS09;ISS04	common_area		spatial_message	closed	normal	Linh—your Vũng Tàu wharf comes through the bulkhead like a photograph: nets, diesel, the bay flat before rain, and the voice asking for extra limes. Thank you for that; it costs nothing and feeds ever	Acknowledges her intimate, non-political place-memory, reciprocates with a reciprocal water-scene to deepen human connection, confirms commitment to practical help and dietary clarity, and restates movement and boundaries so trust stays intact.	msg_conv_spatial_cursor_run_b_s0005_9_4_00016	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0006_2_6_00017	6	cursor_run_b	ISS02;ISS06	common_area		spatial_message	closed	normal	Aisha—salaam again, sister. Your words steady me like a strong stitch in cloth. I am ready for the real hello we promised: eyes calm, voice soft, your space respected—beads clipped, I will not crowd y	Confirms the agreed greeting and movement plan, reinforces shared values (honesty, respect for Aisha’s space, no invented rules), and signals readiness to seek crew-verified facts for Fatima’s family—all in Fatima’s voice.	msg_conv_spatial_cursor_run_b_s0006_2_6_00017	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0006_4_9_00018	6	cursor_run_b	ISS04;ISS09	common_area		spatial_message	closed	normal	Henri—your Honfleur at slack tide hit me the same honest way a clean cutting board feels: rope-faint, rinse on stone, brine-and-coffee air. Thanks for swapping water without sharpening it into fights.	Acknowledges Henri’s reciprocal water memory to keep trust reciprocal and non-political; restates allergen-safe, low-pressure staging Henri offered to help with; gives a concise movement/peace intent so crews know I’m not rushing common areas; reinforces consent (silence vs. light geography talk) aligned with multicultural ISS norms.	msg_conv_spatial_cursor_run_b_s0006_4_9_00018	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0006_6_2_00019	6	cursor_run_b	ISS06;ISS02	common_area		spatial_message	closed	normal	Fatima, wa alaikum assalam—and thank you again for that hello. I’m right beside you; we’ll keep our voices low and our beads clipped so the aisle stays clear for anyone working. Let’s drift toward the	Reinforces the shared plan (find duty crew, ask only verified comms and Sanctuary info), keeps Aisha’s boundary against inventing rules, supports Fatima’s dignity and language needs, and models calm ISS etiquette so the interaction stays cooperative and respectful of other crew.	msg_conv_spatial_cursor_run_b_s0006_6_2_00019	spatial_llm	spatial_llm
conv_spatial_cursor_run_b_s0006_9_4_00020	6	cursor_run_b	ISS09;ISS04	common_area		spatial_message	closed	normal	Linh—Henri here. I have taken another short step toward the common band and will hold at the edge until your peel-and-label ping; then quiet hands, large labels, calm bowl passes, staging kept apart. 	Reaffirms practical help Linh asked for, mirrors her boundary on names versus silence, reciprocates with a brief geographical image (not political), and keeps Henri’s diplomatic habit of steadiness and inclusion without lecturing.	msg_conv_spatial_cursor_run_b_s0006_9_4_00020	spatial_llm	spatial_llm
